country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,Social support,Happiness
Afghanistan,34413603,19134211764,,103.534523,51.66994858,,53.2,63.377,0.285,61.33978081,0.232175631,1.850994088,0.020535484,57.27106807,,34.809,52.64429883,2.478662289,0.528597236,0
Albania,2880703,11386850130,17.19,105.5429764,97.38848114,62.00762177,8.5,78.025,,93.39432534,1.759987059,28.8024635,8.402314745,117.6592183,,12.197,68.70472473,12.62654761,0.639356136,0
Argentina,43131966,5.94749E+11,,111.3034134,106.9464722,84.0019989,10.2,76.068,,98.96658815,4.314433522,10.63218706,15.91589272,143.566834,,17.548,64.06001976,10.72881571,0.926492274,2
Armenia,2925559,10553337673,18.26,95.00364685,86.00588989,46.52180099,12.8,74.467,2.9143,99.5525667,1.825292192,11.57428872,9.786833464,118.4217138,,14.795,69.04257075,10.87739651,0.722551048,0
Australia,23815995,1.35053E+12,6.05,101.5999069,157.1676636,118.6108627,3.3,82.4,3.4886,99.97000567,15.7864494,17.3248246,28.53023892,107.6778349,,12.9,66.25804941,14.85461069,0.95186156,2
Austria,8642699,3.81818E+11,5.72,101.9974823,100.3209991,80.71942139,3,81.1902439,5.1035,100,7.306745266,47.03332525,28.2935384,155.2154711,,9.8,67.03954297,18.84047768,0.928110301,2
Azerbaijan,9649341,53074370486,4.96,106.6014862,,25.48320007,23.4,72.266,,92.42031398,3.333906429,13.03953365,19.73923241,111.1650782,,17.2,71.3895879,5.736523206,0.785702765,1
Bahrain,1371853,31050638298,,101.2005081,102.1602402,43.27574921,6.5,76.762,0.9257,100,22.30559688,0.771208226,18.44522474,183.6245336,,15.096,76.82605472,2.324232005,0.852550745,1
Bangladesh,156256287,1.95079E+11,,,65.62918854,13.78740978,30.6,71.514,0.4858,97.10160247,0.458797539,14.46877161,3.131355825,84.07708629,,19.156,65.61857714,5.103355977,0.601468265,0
Belarus,9489616,56454734397,1,99.14978027,105.4690018,89.56716156,3,73.62439024,5.1905,96.47706709,5.784217191,42.53416626,30.75926357,121.2815762,,12.5,69.41362835,14.32281401,0.924072623,1
Belgium,11274196,4.6215E+11,8.48,103.1558075,163.9347229,74.55976105,3.2,80.99268293,3.0138,99.9999977,8.444061111,22.76420079,36.50842403,113.1658212,,10.8,64.85353395,18.1423094,0.885208845,2
Benin,10575962,11388160958,,132.4668427,58.8467598,13.5534296,64.3,60.608,,64.7868223,0.566378737,30.02084072,0.692731964,88.1051181,,37.432,53.73519093,3.227718885,0.434388518,0
Bhutan,727885,2003598213,2.45,104.2337723,84.01727295,14.12413979,27.4,70.419,0.3448,96.22142259,1.31888966,71.23278327,3.829498431,92.83820321,,17.783,66.87801219,5.743148558,0.847574413,1
Bolivia,10869732,33000198248,3.11,95.90843964,91.36424255,,25.1,70.277,,90.46214101,1.877691189,48.0266039,1.664723963,93.49660939,,22.821,60.83890768,6.756138377,0.828705788,1
Bosnia and Herzegovina,3429362,16219819017,27.69,,,50.18598938,5.4,76.865,2.1616,96.15984418,5.718264797,42.19726563,18.51619004,100.4128758,,8.655,70.27787392,14.48056941,0.655723631,1
Botswana,2120716,13578754072,,103.2383881,,30.23933983,32.1,67.338,,88.44628953,3.399795164,27.96075733,1.737384921,163.8751723,,26.44,61.24681476,3.836581607,0.815656066,0
Brazil,204471759,1.80221E+12,8.43,113.3699722,100.6081696,51.32004166,14,74.994,,97.80356759,2.347365731,60.28671451,12.46258988,126.0879559,,14.472,69.56613409,8.0130436,0.906693101,2
Bulgaria,7177991,50781996713,9.14,94.19827271,102.2722702,70.30153656,6.8,74.61463415,4.0332,99.19632731,6.225976043,35.30766396,22.42498723,127.70783,,9.2,65.70743309,20.01883123,0.907517016,0
Burkina Faso,18110616,11832159276,,88.36615753,33.71873093,5.063829899,59.5,59.919,0.0657,50.13713109,0.187735194,23.63450292,0.051649242,79.77028842,,39.437,52.01818557,2.407873964,0.705393493,0
Cambodia,15521435,18049954289,0.39,117.0784836,,13.13562965,27.2,68.637,,68.44384896,0.55278394,50.11794697,0.537991459,134.3338529,,23.674,64.2786402,4.119180725,0.728610277,0
Cameroon,23298376,32210232912,,116.2104416,59.03208923,16.9623909,57.3,57.583,,63.97399012,0.343800787,43.62184003,0.087761512,77.94823655,,36.964,54.0539964,2.729341386,0.646312475,1
Canada,35702908,1.55651E+12,6.91,102.4850769,110.3565292,64.78695679,4.6,81.9,2.5388,99.22922139,15.65138616,38.71643807,36.40462417,82.61933463,,10.7,67.95488432,16.05363481,0.939067066,2
