country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,hdi
Afghanistan,34413603,19134211764,,103.534523,51.66994858,,53.2,63.377,0.285,61.33978081,0.232175631,1.850994088,0.020535484,57.27106807,,34.809,52.64429883,2.478662289,0
Albania,2880703,11386850130,17.19,105.5429764,97.38848114,62.00762177,8.5,78.025,,93.39432534,1.759987059,28.8024635,8.402314745,117.6592183,,12.197,68.70472473,12.62654761,2
Algeria,39728020,1.65979E+11,11.21,115.8778381,,36.78131866,21.6,76.09,,93.40956153,3.674232947,0.821247986,5.712209454,108.8089403,,25.481,65.42884525,5.863636564,1
Andorra,77993,2789870188,,,,,3.3,,3.3333,99.99999755,6.026181837,34.04255319,39.34573329,91.44351438,,,,,3
Angola,27884380,1.16194E+11,,113.4779587,,8.400939941,57.8,59.398,,54.31692835,1.260920989,55.65307612,0.550742009,49.79322295,,42.52,50.61516696,2.275861888,0
Antigua and Barbuda,93571,1336692593,,104.9906235,108.2302322,,6.8,76.483,,96.73918628,5.236665206,19.20454545,10.68764295,188.1025159,,15.883,69.26875147,8.156809097,1
Argentina,43131966,5.94749E+11,,111.3034134,106.9464722,84.0019989,10.2,76.068,,98.96658815,4.314433522,10.63218706,15.91589272,143.566834,,17.548,64.06001976,10.72881571,2
Armenia,2925559,10553337673,18.26,95.00364685,86.00588989,46.52180099,12.8,74.467,2.9143,99.5525667,1.825292192,11.57428872,9.786833464,118.4217138,,14.795,69.04257075,10.87739651,1
Australia,23815995,1.35053E+12,6.05,101.5999069,157.1676636,118.6108627,3.3,82.4,3.4886,99.97000567,15.7864494,17.3248246,28.53023892,107.6778349,,12.9,66.25804941,14.85461069,3
Austria,8642699,3.81818E+11,5.72,101.9974823,100.3209991,80.71942139,3,81.1902439,5.1035,100,7.306745266,47.03332525,28.2935384,155.2154711,,9.8,67.03954297,18.84047768,3
Azerbaijan,9649341,53074370486,4.96,106.6014862,,25.48320007,23.4,72.266,,92.42031398,3.333906429,13.03953365,19.73923241,111.1650782,,17.2,71.3895879,5.736523206,1
"Bahamas, The",374200,11890600000,12,,,,12,73.088,,98.8869605,6.333511491,50.93506494,21.65064163,83.15606912,,14.224,69.31770201,6.692035937,2
Bahrain,1371853,31050638298,,101.2005081,102.1602402,43.27574921,6.5,76.762,0.9257,100,22.30559688,0.771208226,18.44522474,183.6245336,,15.096,76.82605472,2.324232005,2
Bangladesh,156256287,1.95079E+11,,,65.62918854,13.78740978,30.6,71.514,0.4858,97.10160247,0.458797539,14.46877161,3.131355825,84.07708629,,19.156,65.61857714,5.103355977,0
Barbados,285327,4715000000,9.8,95.91723633,107.5281219,,13,78.801,,98.47444474,4.52112839,14.65116279,27.4316216,117.337483,,10.806,67.03186553,14.68576075,2
Belarus,9489616,56454734397,1,99.14978027,105.4690018,89.56716156,3,73.62439024,5.1905,96.47706709,5.784217191,42.53416626,30.75926357,121.2815762,,12.5,69.41362835,14.32281401,2
Belgium,11274196,4.6215E+11,8.48,103.1558075,163.9347229,74.55976105,3.2,80.99268293,3.0138,99.9999977,8.444061111,22.76420079,36.50842403,113.1658212,,10.8,64.85353395,18.1423094,3
Belize,360926,1721700991,7.58,112.8883286,80.65795135,23.25366974,13.2,74.034,,97.17559498,1.828629691,58.43182815,4.81502107,58.72170181,,21.733,63.48047976,4.416886237,1
Benin,10575962,11388160958,,132.4668427,58.8467598,13.5534296,64.3,60.608,,64.7868223,0.566378737,30.02084072,0.692731964,88.1051181,,37.432,53.73519093,3.227718885,0
Bhutan,727885,2003598213,2.45,104.2337723,84.01727295,14.12413979,27.4,70.419,0.3448,96.22142259,1.31888966,71.23278327,3.829498431,92.83820321,,17.783,66.87801219,5.743148558,0
Bolivia,10869732,33000198248,3.11,95.90843964,91.36424255,,25.1,70.277,,90.46214101,1.877691189,48.0266039,1.664723963,93.49660939,,22.821,60.83890768,6.756138377,1
Bosnia and Herzegovina,3429362,16219819017,27.69,,,50.18598938,5.4,76.865,2.1616,96.15984418,5.718264797,42.19726563,18.51619004,100.4128758,,8.655,70.27787392,14.48056941,1
Botswana,2120716,13578754072,,103.2383881,,30.23933983,32.1,67.338,,88.44628953,3.399795164,27.96075733,1.737384921,163.8751723,,26.44,61.24681476,3.836581607,1
