country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,Social support,Happiness
Afghanistan,35383028,18116562465,,102.4864731,51.65594101,,51.3,63.763,0.2782,64.0548831,0.208857196,1.850994088,0.024873504,61.05463771,,33.981,53.2079642,2.519922544,0.559071779,0
Albania,2876101,11861199831,15.42,105.5538635,95.71499634,58.3818512,8.4,78.194,1.2164,93.75487823,1.714126173,28.80218978,9.228640975,116.7444442,,12.08,68.66009247,12.95621108,0.638411462,0
Algeria,40551398,1.60034E+11,10.2,113.8302002,,42.62884903,21.3,76.298,1.8325,93.62277749,3.535019927,0.821247986,7.051711073,116.0042077,,25.25,64.85756642,6.007981181,0.748588264,1
Argentina,43590368,5.57531E+11,,110.7391815,108.4623337,87.21344757,9.7,76.221,4.0013,99.0238575,4.227539442,10.60039683,16.66727115,146.4538276,,17.383,64.06056661,10.85997758,0.882819116,2
Armenia,2936147,10546135160,17.62,94.51789856,,51.08018875,12.2,74.64,,99.56094081,1.726752782,11.56691254,10.18921762,116.9754675,,14.568,68.7610583,10.97872277,0.709218323,0
Australia,24190907,1.20669E+12,5.71,100.7444077,153.0131989,120.9657135,3.2,82.44878049,3.5672,99.96997302,15.87207954,17.42548771,30.39231558,109.4312952,,12.9,65.90657302,15.1411186,0.942334235,2
Austria,8736668,3.95569E+11,6.01,102.2643585,100.9630203,83.45494843,3,81.64146341,5.1234,100,7.255626516,47.07695104,28.84661223,126.6614696,,10,66.9201963,18.90914695,0.926318586,2
Azerbaijan,9757812,37867518957,5,106.4317398,,25.92642021,21.8,72.493,,93.18356464,3.347061821,13.15441152,18.52561662,104.6523726,,16.3,71.02714111,5.835522707,0.777271032,1
Bahrain,1425793,32234973404,,101.093132,103.8538437,46.56613922,6.3,76.899,,100,21.18119531,0.795892169,16.29866067,210.0492218,,14.738,77.26758181,2.342487544,0.862700105,2
Bangladesh,157977151,2.21415E+11,4.35,,71.41584015,17.87435913,29.3,71.785,0.4974,97.22961308,0.466776363,14.46877161,4.173005954,86.07690632,,18.824,66.11132307,5.135613502,0.649116933,0
Belarus,9501534,47722657821,5.84,101.0770416,104.7959213,88.18457794,2.9,73.82682927,,96.48867563,5.810640682,42.90696987,32.47559748,121.112623,,12.4,69.07010989,14.41574703,0.926551104,1
Belgium,11331422,4.7574E+11,7.83,103.3177719,161.0331573,75.89064026,3.1,81.43902439,3.0679,100.0000013,8.323756718,22.76420079,37.60922178,110.5368746,,10.8,64.61143766,18.37185871,0.928964078,2
Benin,10872072,11821066153,,130.9022827,59.04251862,12.94939995,63,60.885,0.0481,64.92204449,0.665006634,29.57742107,0.20509447,81.7921125,,37.027,53.89830798,3.23552209,0.492815852,0
Bolivia,11031822,33941126200,3.5,96.55513,91.42639923,,23.9,70.626,1.5901,91.06696927,1.958878597,47.77132835,2.606905809,91.60973889,,22.433,61.11593252,6.900623959,0.795958757,1
Bosnia and Herzegovina,3386263,16914287349,25.41,,,50.78256989,5.3,76.998,,96.15126178,6.597243038,42.50996094,19.56337748,100.5249735,,8.477,70.000378,15.07843743,0.807705104,1
Botswana,2159925,15082578065,,,,25.9108696,33,68.178,0.5269,89.40444271,3.296410755,27.75201595,2.734212777,152.2730166,,25.943,61.32850786,3.957078179,0.768302798,0
