country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,hdi
Afghanistan,33370804,20497126770,7.91,105.9197083,52.582901,8.230680466,55.2,62.966,0.2983,58.65937353,0.234036914,1.850994088,0.004494948,55.15951463,,35.706,51.90783594,2.451574871,0
Albania,2889104,13228147516,18.05,104.1080399,97.68486786,65.78296661,8.8,77.813,,93.02005646,1.806788541,28.75051095,7.180321133,115.9979353,2309.366503,12.259,68.59902531,12.1806923,2
Algeria,38923688,2.1381E+11,10.21,118.5028076,,34.48181915,21.9,75.878,,93.19235149,3.566208834,0.818057387,4.109815688,111.2386102,1362.871884,25.538,66.00259811,5.733120075,1
Andorra,79213,3271808157,,,,,3.5,,,100.0000012,5.807127618,34.04255319,36.31979599,83.62390012,,,,,3
Angola,26941773,1.45712E+11,9.58,,,,60.5,58.776,,53.5415069,1.285364553,56.09830111,0.325702323,52.15898327,312.2288945,43.182,50.51979678,2.303043908,0
Antigua and Barbuda,92562,1249733333,,106.0467072,106.9801331,,7.1,76.349,,96.73918628,5.18571336,19.35454545,11.61815864,129.6871286,,16.026,69.14608587,7.961150364,1
Argentina,42669500,5.2632E+11,7.27,111.459671,106.0355606,80.99581146,10.8,75.913,,98.90931952,4.216360632,10.71381852,15.29042819,143.6158316,3074.702071,17.698,64.01546985,10.61640066,2
Armenia,2912403,11609512940,17.5,96.86598969,85.88350677,47.08219147,13.5,74.273,2.8928,99.44055835,1.881607731,11.58159466,9.369734814,118.7723634,1961.610395,14.979,69.29291181,10.83934296,1
Australia,23475686,1.4675E+12,6.08,105.4570923,,,3.3,82.3,3.4314,99.9614791,15.7558761,17.23244601,27.69911237,106.2025331,10071.39898,13.2,66.55144441,14.56531719,3
Austria,8546356,4.41996E+11,5.62,101.6281891,99.66307831,79.15869904,3.1,81.4902439,5.0359,100.0000028,7.253383781,46.98801546,27.38179226,150.345714,8355.841952,9.6,67.16624799,18.65961774,3
Azerbaijan,9535079,75244294275,4.91,106.0598907,,23.15973091,25,72.022,3.446,91.15671941,3.422100645,12.92970858,19.96786744,111.0134613,2202.393918,17.9,71.55420234,5.689117451,1
"Bahamas, The",370625,11142900000,13.8,,,,12.3,72.847,,98.84419617,7.069139966,50.93506494,20.82059612,84.94710401,,14.34,68.88431413,6.556350892,2
Bahrain,1336073,33387712766,,99.7290802,98.94239807,41.32923889,6.6,76.624,0.9573,100,22.61852459,0.757457847,21.52364201,174.3161125,19596.9831,15.426,77.03018169,2.294856202,2
Bangladesh,154517385,1.72885E+11,,,,13.86507988,32.1,71.231,0.4887,96.96925348,0.412898523,14.47636475,2.001827212,82.10473758,320.2099233,19.501,65.11320972,5.074235596,0
Barbados,284825,4696500000,12.17,95.19335175,108.123848,,13.3,78.717,,98.46444332,4.529096814,14.65116279,27.29034568,107.2430185,,10.916,67.05813374,14.33752537,2
Belarus,9474511,78813839984,0.5,98.30412292,105.52314,91.50016022,3.2,72.97073171,5.012,96.46534969,6.276841095,42.53176531,28.46079751,120.8889669,3679.97884,12.5,69.85744404,14.20297538,2
Belgium,11209057,5.34678E+11,8.52,103.6480637,162.2993469,72.99739838,3.3,81.28780488,2.9723,99.99999728,8.043495541,22.76796565,35.74653262,113.4877626,7709.123078,11.2,65.04598292,17.97717202,3
Belize,353366,1667335061,8.24,111.552742,79.76219177,24.00411034,13.9,73.782,0.5659,96.54229818,1.386664252,58.94528715,2.801627774,48.75964298,,22.067,62.85692455,4.326958451,1
Benin,10286839,13284528654,,129.5956726,56.23654175,15.95351982,65.5,60.345,,64.64679742,0.535635874,30.46426038,0.441525117,84.18939764,100.2251518,37.831,53.52991646,3.228298203,0
Bhutan,719053,1907090813,2.63,105.4768219,82.71891785,,28.5,70.046,0.3393,95.42943736,1.307274985,71.18089042,3.473865003,86.85510844,,17.965,66.32955754,5.642127515,0
Bolivia,10706517,32996188013,2.02,95.90289307,90.38321686,,26.4,69.891,,89.85011389,1.883899311,48.22207883,1.613811476,97.60728909,742.5383997,23.233,60.52875085,6.623526587,1
Bosnia and Herzegovina,3482106,18560861389,27.52,,,49.20698166,5.5,76.723,2.1326,96.16812794,5.597187449,41.97132813,15.57692832,100.260848,3446.764688,8.818,70.42495847,14.34462775,1
Botswana,2088619,15654660710,,103.7176437,,27.3073101,31,66.265,,87.46342477,3.413738935,28.1694987,1.593876908,163.2901277,1815.553722,26.87,61.34879619,3.720785706,1
Brazil,202763744,2.45604E+12,6.66,114.8582001,101.3885269,50.17644882,14.5,74.745,,97.55858195,2.499362016,60.47086792,11.82082759,138.4511833,2619.960499,14.624,69.39061969,7.741889194,1
Brunei Darussalam,409778,17098342541,6.97,105.4932098,99.59155273,32.02042007,8.6,75.193,1.5105,99.50799572,17.00920986,72.10626186,7.384404384,110.3192286,10290.93802,16.765,71.64719635,3.876086283,2
Bulgaria,7223938,57082011260,11.42,96.66216278,104.1487808,67.56356049,7.2,74.46585366,3.975,99.23548448,5.845841977,35.13080324,20.43832945,130.9327974,4708.927458,9.4,66.24427967,19.66189074,2
Burkina Faso,17586029,13943016924,6.48,87.33791351,30.35403061,5.0769701,61.1,59.45,0.0487,50.73416554,0.171727227,23.81732456,0.030751682,71.04725171,,39.979,51.80948173,2.423281434,0
Burundi,9844301,2705783272,1.57,134.2994843,39.4112587,4.546249866,48,59.665,0.0619,58.96254221,0.03961683,10.22196262,0.017268878,32.4376271,,41.44,52.47395472,2.082362594,0
Cabo Verde,518276,1859898513,,107.4293137,95.14743805,23.97116089,17.9,71.886,,84.73357317,0.964736936,10.89826303,3.680699866,118.3508242,,21.132,65.11477586,4.594700456,0
Cambodia,15274506,16702610842,0.69,116.8082199,,,28.6,68.273,0.1927,67.77182986,0.434056591,52.09212554,0.43281932,133.8962191,271.3672049,24.048,64.1725757,4.015764048,0
Cameroon,22681853,36386546918,3.53,113.2790298,57.51034927,16.28087044,59.8,57.083,,63.60153135,0.341682842,43.7403059,0.074204699,75.1219918,275.1979743,37.497,53.8695782,2.755127756,0
Canada,35437435,1.80575E+12,6.91,101.5366592,109.3330994,65.61290741,4.7,81.8,2.4961,99.23098502,15.85413843,38.72104457,35.23968495,80.72209502,15588.48715,10.8,68.31509023,15.62336628,3
Central African Republic,4464171,1894813505,,,,,92.1,50.129,,43.35400275,0.067201727,36.08944107,,25.88652999,,36.927,52.01153629,2.887879619,0
Chad,13663562,13940768066,,101.5848312,23.0396595,3.433840036,77.7,52.789,0.0445,44.05402607,0.068796116,3.985069886,0.07414609,38.43476879,,44.276,49.4410244,2.455757157,0
Chile,17758969,2.60542E+11,6.66,100.9414597,100.6820908,82.84638214,6.9,79.504,2.0278,99.27424733,4.301488448,23.4312928,14.01949855,133.3451921,3879.67342,13.7,68.8894152,10.29157734,2
China,1364270000,1.04757E+13,4.1,95.7964325,,42.43072891,9.9,75.629,1.6877,91.1813536,7.252919144,22.10759465,14.32580171,91.89962887,3927.0445,12.37,72.89924074,8.966397405,1
Colombia,46967706,3.81112E+11,8.57,114.5444183,94.9876709,51.41638184,13.9,76.322,1.8534,96.04986302,1.699465586,54.32112303,10.70649708,117.8049526,1312.199493,15.725,67.53055121,7.430658298,1
Comoros,759390,1149587652,8.14,104.9748917,61.09056854,8.994779587,55.6,63.214,,80.20603645,0.210695427,19.1015583,0.208456788,50.43521774,,33.781,56.76305982,2.891926415,0
"Congo, Rep.",4736965,17889079958,,,,,39.5,62.582,,70.10704061,0.861310987,64.50073206,0.010555257,104.076947,202.8725144,35.094,55.2936937,2.55969209,0
"Congo, Dem. Rep.",73767445,35909040266,,110.176651,45.50178909,,75.7,58.828,,42.08531377,0.064933793,58.56222668,0.000677806,50.29719681,108.5167041,43.309,50.59244086,3.018876334,0
Costa Rica,4795390,52016408951,9.06,111.7728577,120.1272202,52.23117065,7.9,79.398,2.6434,99.14848775,1.632818186,57.51398355,10.76734852,146.3990044,1942.4906,14.989,69.10082087,8.385918493,2
Croatia,4238389,58330289757,17.29,100.9960175,98.70237732,67.51023102,4.2,77.47804878,3.1258,,3.855238394,33.95652942,23.13434905,104.8370208,3714.382988,9.3,66.40220965,18.90646766,2
Cuba,11306909,80656000000,2.7,100.0399704,97.00200653,40.96097183,4.3,78.521,7.5673,95.6465497,2.377307538,30.12497597,0.068922492,22.38236037,1450.882819,10.992,69.41681826,13.7064222,1
Cyprus,1152297,23156850007,16.09,99.15271759,99.41673279,53.10435104,2.3,80.178,2.4993,99.79626657,5.857864769,18.69437229,28.76162928,131.1454545,3624.933502,11.143,70.42676074,12.53361799,3
Czech Republic,10525347,2.09359E+11,6.11,98.66822815,104.6972198,65.62409973,2.5,78.82439024,3.9345,99.88001359,9.477122227,34.52716913,28.27672043,131.365859,6258.891037,10.4,67.61556015,17.49089897,3
Cote d'Ivoire,22647672,35363533866,,86.80014038,38.93740082,8.315190315,67,55.508,0.2314,71.10905957,0.395625652,11.05042767,0.56013233,97.60192256,274.7302239,36.63,54.38562725,2.813113253,0
Denmark,5643475,3.52994E+11,6.93,101.2942276,129.3281708,81.02908325,3.5,80.7,3.8632,99.99999892,6.336521381,15.42605,41.34318445,126.4121686,5858.801536,10.1,64.39695943,18.57045554,3
Djibouti,898707,2214679081,,70.98679352,46.17198181,,55.9,63.171,0.2237,75.7452946,0.511846464,0.241587575,2.236798914,31.94064727,,23.402,64.8183199,4.23313805,0
Dominica,71091,520207407.4,,116.0983734,90.72412872,,26.1,,,95.42065606,2.531966072,63.82666667,15.17197721,103.9403531,,12,,,1
Dominican Republic,10165182,67179914027,6.72,107.5581589,80.14460754,49.31927109,26.6,73.003,,95.81200105,2.097355463,43.41842269,5.902461372,81.6860454,1615.514607,20.547,64.50097357,6.355517653,1
Ecuador,15951832,1.01726E+11,3.48,112.8784866,104.8615036,,13.4,75.923,,92.35797104,2.582775445,51.7836286,8.272569183,104.0991948,1376.393633,20.645,64.13675162,6.440793037,1
"Egypt, Arab Rep.",90424668,3.05595E+11,13.1,103.8715363,80.79741669,31.06810951,20.6,71.117,1.138,99.0256283,2.395917008,0.05210106,3.392745005,105.409341,1683.213258,28.475,61.78781703,5.053404903,1
